Club_ID,Expected Goals,Expected Goals Allowed,Expected Goals Differiential,Expected Goals Differiential/ 90 (mins)
14,51.8,44.7,7.1,0.22
1,56.6,42.4,14.2,0.42
17,54.9,41.8,13.1,0.39
23,48.0,49.3,-1.3,-0.04
5,37.8,48.1,-10.3,-0.3
15,49.9,49.7,0.2,0.01
13,44.8,54.9,-10.2,-0.3
2,53.0,44.7,8.3,0.25
12,38.4,50.0,-11.6,-0.34
4,37.3,41.8,-4.5,-0.13
16,43.6,42.5,1.1,0.03
6,33.1,59.3,-26.3,-0.77
10,77.3,36.5,40.8,1.2
21,48.7,46.3,2.4,0.07
19,36.5,40.4,-3.9,-0.11
11,52.7,44.6,8.1,0.24
9,56.3,62.5,-6.2,-0.18
18,52.8,56.2,-3.4,-0.1
7,49.6,43.9,5.7,0.17
20,51.9,47.1,4.8,0.14
3,51.1,57.0,-5.9,-0.17
8,47.4,50.6,-3.2,-0.09
22,58.0,51.4,6.6,0.19
24,34.4,60.3,-25.9,-0.76
